"GO.ID","Term","Annotated","Significant","Expected","weight01","Fisher","padj","Category","Lineage","Ontology"
"GO:0019538","protein metabolic process",50,1,0.31,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0043170","macromolecule metabolic process",92,1,0.57,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0009058","biosynthetic process",88,1,0.55,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0009059","macromolecule biosynthetic process",67,1,0.42,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0009987","cellular process",154,1,0.96,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0010467","gene expression",64,1,0.4,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0044238","primary metabolic process",118,1,0.73,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0008150","biological_process",160,1,0.99,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0008152","metabolic process",130,1,0.81,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0000375","RNA splicing, via transesterification reactions",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0000398","mRNA splicing, via spliceosome",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0005975","carbohydrate metabolic process",11,0,0.07,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0005996","monosaccharide metabolic process",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006082","organic acid metabolic process",13,0,0.08,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006139","nucleobase-containing compound metabolic process",52,0,0.32,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006163","purine nucleotide metabolic process",6,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006259","DNA metabolic process",15,0,0.09,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006260","DNA replication",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006281","DNA repair",9,0,0.06,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006351","DNA-templated transcription",12,0,0.07,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006355","regulation of DNA-templated transcription",7,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006396","RNA processing",11,0,0.07,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006397","mRNA processing",7,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006457","protein folding",6,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006508","proteolysis",7,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006520","amino acid metabolic process",12,0,0.07,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006753","nucleoside phosphate metabolic process",7,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006793","phosphorus metabolic process",10,0,0.06,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006796","phosphate-containing compound metabolic process",10,0,0.06,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006810","transport",14,0,0.09,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006950","response to stress",12,0,0.07,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006974","DNA damage response",10,0,0.06,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0006996","organelle organization",10,0,0.06,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0007049","cell cycle",8,0,0.05,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0008104","protein localization",10,0,0.06,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0008380","RNA splicing",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0008652","amino acid biosynthetic process",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0009056","catabolic process",7,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0009117","nucleotide metabolic process",7,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0009150","purine ribonucleotide metabolic process",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0009165","nucleotide biosynthetic process",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0009259","ribonucleotide metabolic process",5,0,0.03,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0009889","regulation of biosynthetic process",8,0,0.05,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0010468","regulation of gene expression",8,0,0.05,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0010556","regulation of macromolecule biosynthetic process",8,0,0.05,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0015031","protein transport",6,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0016043","cellular component organization",16,0,0.1,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0016053","organic acid biosynthetic process",7,0,0.04,"1.00",1,1,"Relaxed","Trebouxia","BP"
"GO:0016070","RNA metabolic process",31,6,2.7,"0.007",0.007,0.728,"Strengthened","Trebouxia","BP"
"GO:0006412","translation",30,4,2.61,"0.249",0.249,1,"Strengthened","Trebouxia","BP"
"GO:0006396","RNA processing",11,2,0.96,"0.300",0.3,1,"Strengthened","Trebouxia","BP"
"GO:0006520","amino acid metabolic process",12,2,1.04,"0.361",0.361,1,"Strengthened","Trebouxia","BP"
"GO:0170034","L-amino acid biosynthetic process",5,1,0.43,"0.369",0.369,1,"Strengthened","Trebouxia","BP"
"GO:0170038","proteinogenic amino acid biosynthetic process",5,1,0.43,"0.369",0.369,1,"Strengthened","Trebouxia","BP"
"GO:0000398","mRNA splicing, via spliceosome",5,1,0.43,"0.369",0.369,1,"Strengthened","Trebouxia","BP"
"GO:0009058","biosynthetic process",88,10,7.65,"0.375",0.375,1,"Strengthened","Trebouxia","BP"
