"GO.ID","Term","Annotated","Significant","Expected","weight01","Fisher_p","padj","Lineage","Condition","Ontology","N_focal","N_universe"
"GO:0065007","biological regulation",15,0,0.08,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0070727","cellular macromolecule localization",11,0,0.06,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0071705","nitrogen compound transport",8,0,0.04,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0071840","cellular component organization or biogenesis",21,0,0.12,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0072521","purine-containing compound metabolic process",7,0,0.04,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0072522","purine-containing compound biosynthetic process",5,0,0.03,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0080090","regulation of primary metabolic process",9,0,0.05,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0090304","nucleic acid metabolic process",49,0,0.28,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0090407","organophosphate biosynthetic process",7,0,0.04,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0141187","nucleic acid biosynthetic process",26,0,0.15,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0170033","L-amino acid metabolic process",8,0,0.04,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0170034","L-amino acid biosynthetic process",6,0,0.03,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0170038","proteinogenic amino acid biosynthetic process",6,0,0.03,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0170039","proteinogenic amino acid metabolic process",8,0,0.04,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:1901135","carbohydrate derivative metabolic process",10,0,0.06,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:1901137","carbohydrate derivative biosynthetic process",7,0,0.04,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:1901293","nucleoside phosphate biosynthetic process",6,0,0.03,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:1901605","alpha-amino acid metabolic process",8,0,0.04,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:1901607","alpha-amino acid biosynthetic process",6,0,0.03,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:2001141","regulation of RNA biosynthetic process",8,0,0.04,"1.00",1,1,"Coccomyxa","Intensified","BP",5,244
"GO:0005996","monosaccharide metabolic process",5,2,0.23,"0.017",0.017,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006508","proteolysis",7,2,0.32,"0.034",0.034,1,"Symbiochloris","Intensified","BP",36,244
"GO:0022402","cell cycle process",7,1,0.32,"0.282",0.282,1,"Symbiochloris","Intensified","BP",36,244
"GO:0009056","catabolic process",7,1,0.32,"0.282",0.282,1,"Symbiochloris","Intensified","BP",36,244
"GO:0022607","cellular component assembly",7,1,0.32,"0.282",0.282,1,"Symbiochloris","Intensified","BP",36,244
"GO:0051604","protein maturation",8,1,0.36,"0.316",0.316,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006996","organelle organization",10,1,0.45,"0.380",0.38,1,"Symbiochloris","Intensified","BP",36,244
"GO:0045184","establishment of protein localization",10,1,0.45,"0.380",0.38,1,"Symbiochloris","Intensified","BP",36,244
"GO:0044283","small molecule biosynthetic process",10,1,0.45,"0.380",0.38,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006974","DNA damage response",11,1,0.5,"0.410",0.41,1,"Symbiochloris","Intensified","BP",36,244
"GO:0044238","primary metabolic process",128,6,5.82,"0.439",0.439,1,"Symbiochloris","Intensified","BP",36,244
"GO:0050794","regulation of cellular process",13,1,0.59,"0.466",0.466,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006351","DNA-templated transcription",13,1,0.59,"0.466",0.466,1,"Symbiochloris","Intensified","BP",36,244
"GO:0016070","RNA metabolic process",34,1,1.55,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0007049","cell cycle",8,1,0.36,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0050896","response to stimulus",13,1,0.59,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0009987","cellular process",168,8,7.64,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0090304","nucleic acid metabolic process",50,1,2.27,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0006139","nucleobase-containing compound metabolic process",59,1,2.68,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
"GO:0051641","cellular localization",13,1,0.59,"1.000",1,1,"Symbiochloris","Intensified","BP",36,244
