"Pair","GO_term","n_genes","median_K_with","median_K_without","median_diff","p_value","padj","GO_description","GO_ontology"
"Symbiochloris","GO:0005840",18,1.39462943450422,1.11526517652569,0.279364257978532,0.000500343203435444,0.00166781067811815,"ribosome","CC"
"Symbiochloris","GO:0006412",21,1.3711624540179,1.11335926474515,0.25780318927275,0.000141920012334581,0.000776035899081502,"translation","BP"
"Symbiochloris","GO:0016020",10,1.12904081329758,1.11713121421052,0.0119095990870588,0.877142705233544,0.917199907176854,"membrane","CC"
"Symbiochloris","GO:0016021",14,1.10056616012076,1.11713121421052,-0.0165650540897682,0.800832223455236,0.917199907176854,NA,NA
"Symbiochloris","GO:0055114",14,1.12742052465446,1.11713121421052,0.0102893104439334,0.917199907176854,0.917199907176854,NA,NA
"Trebouxia","GO:0003735",23,1.01955112702828,1.09295430876668,-0.0734031817384049,0.224743474000513,0.756098029741762,"structural constituent of ribosome","MF"
"Trebouxia","GO:0005524",23,1.17769628111708,1.08864984520852,0.0890464359085623,0.0465443065258137,0.465443065258137,"ATP binding","MF"
"Trebouxia","GO:0005622",11,1.08755973245174,1.09044117495194,-0.00288144250019751,0.812906333360937,0.90322925928993,"intracellular anatomical structure","CC"
"Trebouxia","GO:0005634",18,1.18155246603983,1.08942180193198,0.0921306641078501,0.611641630040581,0.798709516784131,"nucleus","CC"
"Trebouxia","GO:0005737",11,1.21231572310628,1.08942180193198,0.122893921174305,0.32322262181642,0.756098029741762,"cytoplasm","CC"
"Trebouxia","GO:0005840",19,1.01955112702828,1.09187616964304,-0.0723250426147619,0.378049014870881,0.756098029741762,"ribosome","CC"
"Trebouxia","GO:0006412",24,1.02439688900146,1.09274191830546,-0.0683450293039958,0.25227321675915,0.756098029741762,"translation","BP"
"Trebouxia","GO:0016020",10,1.08287047083505,1.08999811412817,-0.00712764329312221,0.608902196698436,0.798709516784131,"membrane","CC"
"Trebouxia","GO:0016021",13,1.04079591780614,1.09094732837817,-0.0501514105720291,0.638967613427305,0.798709516784131,NA,NA
"Trebouxia","GO:0055114",14,1.07820020574002,1.09088423577571,-0.012684030035697,0.992500490284495,0.992500490284495,NA,NA
"Asterochloris","GO:0003735",24,0.825875545517717,0.885037779867434,-0.0591622343497171,0.28099535213526,0.82919494842415,"structural constituent of ribosome","MF"
"Asterochloris","GO:0005524",23,0.898936854686754,0.882979195774796,0.015957658911958,0.33167797936966,0.82919494842415,"ATP binding","MF"
"Asterochloris","GO:0005622",12,0.785892535860395,0.884922632887523,-0.0990300970271281,0.298065249562684,0.82919494842415,"intracellular anatomical structure","CC"
"Asterochloris","GO:0005634",20,0.862032950014492,0.885037779867434,-0.0230048298529422,0.588528823262148,0.866069240195646,"nucleus","CC"
"Asterochloris","GO:0005737",11,0.898133350385534,0.884922632887523,0.0132107174980106,0.631316724989352,0.866069240195646,"cytoplasm","CC"
"Asterochloris","GO:0005840",20,0.89116463306963,0.884922632887523,0.00624200018210663,0.78497486006454,0.866069240195646,"ribosome","CC"
"Asterochloris","GO:0006412",25,0.825796964456289,0.885152926847345,-0.0593559623910555,0.195908796593624,0.82919494842415,"translation","BP"
"Asterochloris","GO:0016020",10,0.910582561632864,0.884922632887523,0.0256599287453412,0.553892777163182,0.866069240195646,"membrane","CC"
"Asterochloris","GO:0016021",14,0.897779583231319,0.884513371713518,0.0132662115178008,0.7539659081976,0.866069240195646,NA,NA
"Asterochloris","GO:0055114",14,0.917996629908342,0.884922632887523,0.0330739970208191,0.866069240195646,0.866069240195646,NA,NA
