gene_id,sequence_id,ENC,ENC_prime,GC1,GC2,GC3,GC12
OG0004563,5,50.628032631085524,51.38728373504834,0.664179104477612,0.4552238805970149,0.5597014925373134,0.5597014925373134
OG0004563,6,48.2681611456021,48.008308305145384,0.5740740740740741,0.4222222222222222,0.5962962962962963,0.4981481481481481
OG0004565,0,39.038390408807096,46.472951992048166,0.6979038224414302,0.4007398273736128,0.7866831072749692,0.5493218249075216
OG0004565,1,39.269021990650735,47.992283463796355,0.6775456919060052,0.39295039164490864,0.8302872062663186,0.5352480417754569
OG0004565,2,42.363144722990945,49.245997462393746,0.6662591687041565,0.3899755501222494,0.7909535452322738,0.5281173594132029
OG0004565,3,32.31412204064198,42.43668383692837,0.7034659820282414,0.39537869062901154,0.8934531450577663,0.5494223363286265
OG0004565,4,39.84381047040297,46.947590783636755,0.6654632972322503,0.43802647412755713,0.7833935018050542,0.5517448856799037
OG0004565,5,41.17563542814169,48.67768070223592,0.6708571428571428,0.4377142857142857,0.7702857142857142,0.5542857142857143
OG0004565,6,51.35331663312437,51.86301717152253,0.6413959085439229,0.3838748495788207,0.6028880866425993,0.5126353790613718
OG0004566,0,41.94961736112583,46.43693647811074,0.6104944500504541,0.3985872855701312,0.7325933400605449,0.5045408678102926
OG0004566,1,43.13531510083633,48.723157701022785,0.5847860538827259,0.4120443740095087,0.7686212361331219,0.4984152139461173
OG0004566,2,39.95812754859786,46.00866115538102,0.5722300140252454,0.4081346423562412,0.8036465638148668,0.4901823281907433
OG0004566,3,43.42932754930752,49.48020926932817,0.5807200929152149,0.43902439024390244,0.7665505226480837,0.5098722415795587
OG0004566,4,39.31840239051619,46.827086334973096,0.6199740596627756,0.43190661478599224,0.8054474708171206,0.5259403372243839
OG0004566,5,43.033975340333335,48.47259720982349,0.6302864938608459,0.4201909959072306,0.7353342428376535,0.5252387448840382
OG0004566,6,45.05153480704378,49.068107379414585,0.5817490494296578,0.4195183776932826,0.7034220532319392,0.5006337135614702
OG0004567,0,41.240092558466,44.44001298976001,0.550561797752809,0.3398876404494382,0.7612359550561798,0.4452247191011236
OG0004567,1,42.98503999373198,47.70899852180101,0.5786516853932584,0.3455056179775281,0.7893258426966292,0.46207865168539325
OG0004567,2,39.919771532584605,45.531644808141664,0.5702247191011236,0.3455056179775281,0.8286516853932584,0.45786516853932585
OG0004567,3,35.235389003557756,42.329264038058355,0.5612745098039216,0.3529411764705882,0.892156862745098,0.4571078431372549
OG0004567,4,47.73720698957377,51.11672500400707,0.551948051948052,0.40909090909090906,0.7142857142857142,0.4805194805194805
OG0004567,5,45.682473194480124,47.849193089416644,0.547752808988764,0.3679775280898876,0.7050561797752809,0.4578651685393258
