OG,Branch,K,Relaxation Parameter (K),p-value
OG0003396.json,Node7,0.3550804854539396,2.061511992989344,0.07300157336767488
OG0003396.json,Sym_irr,1.11393316992992,2.061511992989344,0.07300157336767488
OG0003396.json,Sym_ret,1.197912342646684,2.061511992989344,0.07300157336767488
OG0003396.json,Tre_spC0010,1.028512633529825,2.061511992989344,0.07300157336767488
OG0003397.json,Ast_eri,4.264252187144089,6.480044165506294,0.05082771531714891
OG0003397.json,Coc_sub,13.9285030177121,6.480044165506294,0.05082771531714891
OG0003397.json,Coc_vir,11.48027428243688,6.480044165506294,0.05082771531714891
OG0003397.json,Myr_bis,2.406120960373424,6.480044165506294,0.05082771531714891
OG0003397.json,Node2,3.162641638615201,6.480044165506294,0.05082771531714891
OG0003397.json,Node3,0.9912047204825941,6.480044165506294,0.05082771531714891
OG0003397.json,Node4,1.271008749758588,6.480044165506294,0.05082771531714891
OG0003397.json,Node7,1.188601133814295,6.480044165506294,0.05082771531714891
OG0003397.json,Sym_irr,5.830937220533005,6.480044165506294,0.05082771531714891
OG0003397.json,Sym_ret,15.13219321051951,6.480044165506294,0.05082771531714891
OG0003397.json,Tre_spC0010,10.75539040898366,6.480044165506294,0.05082771531714891
OG0003400.json,Ast_eri,0.1878268952401733,2.216540968114957,0.0901147862785272
OG0003400.json,Coc_sub,28.40618264087231,2.216540968114957,0.0901147862785272
OG0003400.json,Coc_vir,0.3404339088798935,2.216540968114957,0.0901147862785272
OG0003400.json,Myr_bis,0.6923849636604658,2.216540968114957,0.0901147862785272
OG0003400.json,Node2,1.409186659392424,2.216540968114957,0.0901147862785272
OG0003400.json,Node3,1.98539659022625,2.216540968114957,0.0901147862785272
OG0003400.json,Node6,50,2.216540968114957,0.0901147862785272
OG0003400.json,Node9,0.6470997794338018,2.216540968114957,0.0901147862785272
OG0003400.json,Sym_irr,1.543861050365412,2.216540968114957,0.0901147862785272
OG0003400.json,Sym_ret,0.2301240487862939,2.216540968114957,0.0901147862785272
OG0003400.json,Tre_spC0010,0.1309395966064389,2.216540968114957,0.0901147862785272
OG0003402.json,Ast_eri,12.16412615189251,1.169794528311109,0.4102439369555967
OG0003402.json,Coc_sub,12.99857279759137,1.169794528311109,0.4102439369555967
OG0003402.json,Coc_vir,22.06235061178922,1.169794528311109,0.4102439369555967
OG0003402.json,Myr_bis,1.110614922695352,1.169794528311109,0.4102439369555967
OG0003402.json,Node2,1.145751252051036,1.169794528311109,0.4102439369555967
OG0003402.json,Node3,1.602723293952009,1.169794528311109,0.4102439369555967
OG0003402.json,Node4,2.029929698355434,1.169794528311109,0.4102439369555967
OG0003402.json,Node9,1.734105559438582,1.169794528311109,0.4102439369555967
OG0003402.json,Sym_irr,17.06498760562672,1.169794528311109,0.4102439369555967
OG0003402.json,Sym_ret,22.14061885771315,1.169794528311109,0.4102439369555967
OG0003402.json,Tre_spC0010,11.1771403245173,1.169794528311109,0.4102439369555967
OG0003403.json,Ast_eri,4.226860126876456,1.614334863370905,0.001160296020412899
OG0003403.json,Coc_sub,39.5114373226093,1.614334863370905,0.001160296020412899
OG0003403.json,Coc_vir,33.83569922242386,1.614334863370905,0.001160296020412899
OG0003403.json,Myr_bis,13.49455093566759,1.614334863370905,0.001160296020412899
OG0003403.json,Node2,2.662279507811567,1.614334863370905,0.001160296020412899
OG0003403.json,Node3,2.667384495478023,1.614334863370905,0.001160296020412899
OG0003403.json,Node4,1.444854062713373,1.614334863370905,0.001160296020412899
OG0003403.json,Node7,1.870829001992283,1.614334863370905,0.001160296020412899
OG0003403.json,Sym_irr,3.235131602314382,1.614334863370905,0.001160296020412899
OG0003403.json,Sym_ret,42.16410823768142,1.614334863370905,0.001160296020412899
OG0003403.json,Tre_spC0010,14.12070814509184,1.614334863370905,0.001160296020412899
OG0003404.json,Ast_eri,0.2683878449095317,50,0.8396552868966698
OG0003404.json,Coc_sub,0.1987403669663915,50,0.8396552868966698
OG0003404.json,Coc_vir,0.4959692411961336,50,0.8396552868966698
OG0003404.json,Myr_bis,0.2866767324513936,50,0.8396552868966698
OG0003404.json,Node2,0.04610391088395535,50,0.8396552868966698
OG0003404.json,Node3,0.2606410071500779,50,0.8396552868966698
OG0003404.json,Node4,0.9713047502139923,50,0.8396552868966698
OG0003404.json,Node7,0.3216939563846463,50,0.8396552868966698
OG0003404.json,Sym_irr,7.464540835602383e-07,50,0.8396552868966698
OG0003404.json,Sym_ret,0.2362702358099961,50,0.8396552868966698
OG0003404.json,Tre_spC0010,0.4036448758285016,50,0.8396552868966698
OG0003405.json,Ast_eri,9.308743901310113,0.9999684591555287,1
OG0003405.json,Coc_sub,13.02949030541513,0.9999684591555287,1
OG0003405.json,Coc_vir,5.373343991857756,0.9999684591555287,1
OG0003405.json,Myr_bis,0.5764364300909725,0.9999684591555287,1
OG0003405.json,Node2,3.271658185484776,0.9999684591555287,1
